ssid,bssid,morning_samples,evening_samples,morning_avg_rssi,evening_avg_rssi,morning_std_rssi,evening_std_rssi,delta_avg
BMELab,14:DA:E9:80:B0:34,906,894,-63.84,-61.22,7.09,6.28,2.61
ASUS_A8,A0:AD:9F:E4:A0:A8,878,887,-63.92,-61.64,6.68,5.78,2.28
ASUS_A8_2G,F0:2F:74:E2:C4:A8,907,900,-56.79,-54.54,6.44,6.65,2.25
DIRECT-bc-HP M236 LaserJet,86:9E:56:B9:4C:BC,910,892,-59.15,-57.09,5.89,5.59,2.06
NYCU-Seminar,F4:2E:7F:D4:D4:04,36,30,-80.08,-82.13,4.43,3.13,-2.05
NYCU,F4:2E:7F:D2:C6:C2,33,38,-83.15,-85.11,3.61,2.95,-1.95
Wiwynn_Lab,F4:54:24:77:77:54,73,71,-81.88,-83.77,2.15,1.76,-1.9
arai_622,D8:EC:E5:C9:A9:E3,217,201,-90.12,-88.3,2.56,2.51,1.83
ESP8266,28:D1:27:13:87:EA,904,900,-64.13,-62.39,7.7,6.49,1.74
NYCU-Alumni,F4:2E:7F:D2:C6:C1,35,35,-83.11,-84.8,3.58,2.74,-1.69
ARA_Public_622,DA:E3:E5:C9:A9:E7,224,253,-89.86,-88.22,2.58,2.45,1.64
NYCU,F4:2E:7F:D2:93:A2,649,695,-78.56,-80.17,5.92,5.72,-1.61
AIUVL,10:7C:61:DA:BF:A6,694,868,-65.02,-66.5,6.21,5.5,-1.48
NYCU-Alumni,F4:2E:7F:D2:93:A1,656,677,-78.68,-80.08,5.86,5.73,-1.4
WiwynnGuest,F4:54:24:77:77:55,75,66,-82.33,-83.7,2.34,1.65,-1.36
arai_621,DA:5F:E5:C9:A6:51,134,92,-89.19,-87.88,2.33,2.75,1.31
LAB335-1,40:86:CB:DF:DB:C8,325,488,-84.06,-85.31,5.41,4.9,-1.25
eduroam,F4:2E:7F:D2:93:A0,470,432,-76.43,-77.67,5.2,5.15,-1.24
DIRECT-34-HP M283 LaserJet,AA:3B:76:CB:18:34,911,889,-57.55,-58.71,5.82,5.11,-1.16
Wiwynnwlan-5G,F4:54:24:76:E8:17,143,349,-80.05,-81.2,2.21,3.08,-1.15
Wiwynn_Lab,F4:54:24:76:E8:14,155,341,-79.92,-81.04,2.23,2.97,-1.12
WYN-Intranet,F4:54:24:76:E8:16,135,337,-80.05,-81.14,2.09,3.1,-1.09
NYCU-Guest,F4:2E:7F:D2:93:A3,500,446,-76.66,-77.67,5.28,5.33,-1.01
WYN-Intranet,F4:54:24:77:77:56,81,76,-82.67,-83.64,2.13,1.62,-0.98
Wiwynnwlan-5G,F4:54:24:77:77:57,95,79,-82.97,-83.89,2.17,1.53,-0.92
WYN-Intranet,F4:54:24:77:67:16,49,263,-81.14,-82.05,2.32,2.1,-0.91
PM2.5_Setup_E4,74:DA:38:C7:D3:E5,672,709,-83.67,-84.53,5.38,4.65,-0.86
WiwynnGuest,F4:54:24:76:E8:15,155,331,-80.21,-81.07,2.07,3.04,-0.86
eduroam,F4:2E:7F:D3:10:80,877,881,-70.73,-71.54,6.2,5.78,-0.81
NYCU-Seminar,F4:2E:7F:D2:93:A4,503,446,-76.86,-77.62,5.32,5.32,-0.76
NYCU,F4:2E:7F:D4:D4:02,79,57,-83.97,-84.72,4.2,3.59,-0.74
NYCU-Seminar,F4:2E:7F:D3:10:84,863,862,-70.53,-71.26,6.16,5.88,-0.73
NYCU-Alumni,F4:2E:7F:D4:D4:01,79,50,-83.65,-84.32,4.28,3.84,-0.67
NYCU-Guest,F4:2E:7F:D3:10:83,860,870,-70.6,-71.26,6.18,5.83,-0.66
Wiwynnwlan-5G,F4:54:24:77:67:17,53,281,-81.38,-82.04,2.37,2.14,-0.66
NYCU,F4:2E:7F:D3:10:82,877,890,-70.6,-71.25,6.3,5.85,-0.65
Wiwynn_Lab,F4:54:24:77:67:14,53,267,-81.13,-81.78,2.32,2.11,-0.64
hank,38:06:E6:2B:01:68,31,274,-89.16,-89.77,2.44,1.67,-0.61
NYCU-Alumni,F4:2E:7F:D3:10:81,886,889,-70.69,-71.27,6.19,5.87,-0.58
LAB337_EX(2.4G),34:97:F6:A6:80:40,878,897,-64.65,-65.22,7.4,6.39,-0.56
.1.Free Wi-Fi,10:62:EB:C4:48:23,200,340,-89.78,-89.29,2.01,2.04,0.49
LAB334,10:27:F5:E0:85:37,761,764,-67.32,-66.84,6.17,5.68,0.48
WiwynnGuest,F4:54:24:77:67:15,62,270,-81.55,-82.0,2.27,2.09,-0.46
DIRECT-D6-HP ,7E:4D:8F:4A:BD:D6,55,99,-87.09,-87.56,1.74,1.26,-0.46
ARA_Public_621,DA:5F:E5:C9:A6:52,139,85,-88.87,-88.45,2.77,2.47,0.42
LAB540,10:7C:61:E6:63:74,447,577,-83.2,-82.86,3.2,2.26,0.34
Lab332,BC:0F:9A:51:BC:BC,142,88,-87.18,-87.39,3.59,3.5,-0.21
D-Link_DIR-612,F4:8C:EB:CC:6C:23,755,771,-65.22,-65.02,5.65,5.1,0.2
CHT Wi-Fi(HiNet),10:62:EB:C4:48:21,239,315,-89.54,-89.45,2.03,1.87,0.09
APL_ASUS,10:C3:7B:C5:F8:00,825,854,-75.58,-75.52,4.79,4.6,0.06
DIRECT-21-HP M148 LaserJet,4E:EB:BD:6F:E7:21,90,58,-88.49,-88.55,2.07,1.99,-0.06
BMELabII,74:D0:2B:8E:6C:30,875,894,-62.53,-62.56,6.99,5.96,-0.03
